company_size,product_category,product_subcategory,NAICS,NAICS_description,brand_type,UPCs,Formulas,Units,5th Percentile,Mean,95th Percentile
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,68,55,170635063,5616160,12120443.5,22175697.5
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,0,0,0,0,0,0
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,68,55,170635063,5616160,12120443.5,22175697.5
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,1946,1770,42476374,16281521.999999998,31024914,53703658.5
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,5621,4352,992767243,444391424,959057638.4,1754702464
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,953,521,1324554918,128060393.3,274299831.2,495155039.5500001
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,8520,6643,2359798535,588733339.3,1264382383.6000001,2303561162.05
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,0,0,0,0,0,0
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,1674,1306,863389702,133358272,287805440.2,526572017.00000006
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,0,0,0,0,0,0
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,1674,1306,863389702,133358272,287805440.2,526572017.00000006
Small Companies,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Branded,56,46,1273165,633171.6,1294081.2,2320334.3000000003
Medium Companies,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Branded,414,326,138350594,37467506,81420358.2,149448017
Large Companies,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Branded,301,241,921347054,66296521.300000004,142637585.2,258238862.54999998
Total,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Branded,771,613,1060970813,104397198.9,225352024.6,410007213.84999996
Small Companies,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Medium Companies,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Private,422,168,275187077,19308408,41958957.6,77016156
Large Companies,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Total,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,Private,422,168,275187077,19308408,41958957.6,77016156
Small Companies,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Branded,312,267,4168835,3675148.1999999997,7511297.4,13468027.349999998
Medium Companies,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Branded,506,384,63088376,44133504,95906188.8,176036928
Large Companies,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Branded,15,14,2223379,3851250.1999999997,8286000.8,15001427.700000001
Total,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Branded,833,665,69480590,51659902.4,111703487,204506383.05
Small Companies,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Private,0,0,0,0,0,0
Medium Companies,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Private,307,245,24763469,28158095,61190146.5,112315227.5
Large Companies,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Private,0,0,0,0,0,0
