NAICS,NAICS description,Size class,No. firms,No. establishments,No. employees,Total payroll,Total receipts
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,20 to 99,663,759,21790,1013294,10838512
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,100 to 499,166,359,13445,642692,5300531
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,more than 500,111,303,12018,716454,14319555
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,total,11093,11624,81648,3775351,45757972
445110,Supermarkets and Other Grocery (except Convenience) Stores,fewer than 20,34194,34325,143726,2511873,28647117
445110,Supermarkets and Other Grocery (except Convenience) Stores,20 to 99,6504,7219,261216,4908962,43653946
445110,Supermarkets and Other Grocery (except Convenience) Stores,100 to 499,1089,2960,180622,3626482,30630934
445110,Supermarkets and Other Grocery (except Convenience) Stores,more than 500,320,21543,1885591,42352721,433526535
445110,Supermarkets and Other Grocery (except Convenience) Stores,total,42107,66047,2471155,53400038,536458532
445120,Convenience Stores,fewer than 20,22449,22707,75977,1196975,15777311
445120,Convenience Stores,20 to 99,496,735,12142,193498,1692501
445120,Convenience Stores,100 to 499,90,497,4541,75137,723154
445120,Convenience Stores,more than 500,51,1544,18227,370663,3651843
445120,Convenience Stores,total,23086,25483,110887,1836273,21844809
445210,Meat Markets,fewer than 20,4564,4622,22096,448714,3835196
445210,Meat Markets,20 to 99,289,360,8984,199412,1345510
445210,Meat Markets,100 to 499,21,123,1510,31580,213880
445210,Meat Markets,more than 500,6,123,0,26135,186316
445210,Meat Markets,total,4880,5228,33782,705841,5580902
445220,Fish and Seafood Markets,fewer than 20,1821,1835,6818,147748,1477409
445220,Fish and Seafood Markets,20 to 99,94,104,2967,75453,575107
445220,Fish and Seafood Markets,100 to 499,11,14,493,14029,96529
445220,Fish and Seafood Markets,more than 500,3,4,0,0,0
445220,Fish and Seafood Markets,total,1929,1957,10293,237619,2152524
445230,Fruit and Vegetable Markets,fewer than 20,2495,2510,8679,182591,1981177
445230,Fruit and Vegetable Markets,20 to 99,195,219,7332,148019,1134849
445230,Fruit and Vegetable Markets,100 to 499,19,34,3139,74442,484689
445230,Fruit and Vegetable Markets,more than 500,7,25,0,35570,320822
445230,Fruit and Vegetable Markets,total,2716,2788,20332,440622,3921537
445291,Baked Goods Stores,fewer than 20,2258,2271,8801,129117,657495
445291,Baked Goods Stores,20 to 99,170,237,4144,65886,251902
445291,Baked Goods Stores,100 to 499,29,143,2239,40598,147915
445291,Baked Goods Stores,more than 500,13,589,0,0,0
445291,Baked Goods Stores,total,2470,3240,19560,344567,1618610
445292,Confectionery and Nut Stores,fewer than 20,1792,1832,7124,93903,593962
445292,Confectionery and Nut Stores,20 to 99,116,241,2937,45308,258717
445292,Confectionery and Nut Stores,100 to 499,30,213,2090,33498,186589
