sector_desc_drc,category,impact
1121a0/cattle ranches and feedlots/us,impact potential/hrsp/kg pm2.5 eq,0.002917403592027797
1121a0/cattle ranches and feedlots/us,impact potential/htox/ctuh,1.7182114174018374e-9
1121a0/cattle ranches and feedlots/us,economic & social/jobs/jobs,5.0678247907573994e-06
1121a0/cattle ranches and feedlots/us,resource use/land/m2*yr,52.4997827503377
1121a0/cattle ranches and feedlots/us,chemical releases/metl/kg,4.939865318861009e-7
1121a0/cattle ranches and feedlots/us,resource use/mine/kg,0.24625983981862012
1121a0/cattle ranches and feedlots/us,resource use/nren/mj,7.08691522891654
1121a0/cattle ranches and feedlots/us,impact potential/ozon/kg cfc11 eq,8.324325882754365e-8
1121a0/cattle ranches and feedlots/us,chemical releases/pest/kg,1.0373530197143574e-4
1121a0/cattle ranches and feedlots/us,resource use/ren/mj,0.39983267849228704
1121a0/cattle ranches and feedlots/us,impact potential/smog/kg o3 eq,0.08630948895389685
1121a0/cattle ranches and feedlots/us,economic & social/vadd/$,0.9885549038219077
1121a0/cattle ranches and feedlots/us,resource use/watr/m3,0.22968907126619198
112300/poultry farms/us,impact potential/acid/kg so2 eq,0.032816543528356105
112300/poultry farms/us,resource use/enrg/mj,15.224841284291578
112300/poultry farms/us,impact potential/etox/ctue,4.498218052367677
112300/poultry farms/us,impact potential/eutr/kg n eq,0.009082558495164756
112300/poultry farms/us,impact potential/gcc/kg co2 eq,1.271920904144136
112300/poultry farms/us,chemical releases/haps/kg,1.392101690466727e-4
112300/poultry farms/us,impact potential/hc/ctuh,2.771933734111822e-10
112300/poultry farms/us,impact potential/hnc/ctuh,1.189519969559861e-9
112300/poultry farms/us,impact potential/hrsp/kg pm2.5 eq,0.003646576220176455
112300/poultry farms/us,impact potential/htox/ctuh,1.46718061629911e-9
112300/poultry farms/us,economic & social/jobs/jobs,8.030996700690117e-6
112300/poultry farms/us,resource use/land/m2*yr,3.582839782373835
112300/poultry farms/us,chemical releases/metl/kg,7.268151843269396e-7
112300/poultry farms/us,resource use/mine/kg,0.23472237141437874
112300/poultry farms/us,resource use/nren/mj,14.6358720507531
112300/poultry farms/us,impact potential/ozon/kg cfc11 eq,1.1333451296009261e-7
112300/poultry farms/us,chemical releases/pest/kg,1.4293051630257e-4
112300/poultry farms/us,resource use/ren/mj,0.5889692335384784
112300/poultry farms/us,impact potential/smog/kg o3 eq,0.05910080461571336
112300/poultry farms/us,economic & social/vadd/$,1.1682906723602928
112300/poultry farms/us,resource use/watr/m3,0.12740133832821762
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/acid/kg so2 eq,0.037121103559072055
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,resource use/enrg/mj,3.058537264859293
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/etox/ctue,0.848497822933621
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/eutr/kg n eq,0.00398744858907394
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/gcc/kg co2 eq,1.518060028013036
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,chemical releases/haps/kg,5.213020397274389e-5
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/hc/ctuh,1.3778814579664447e-10
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/hnc/ctuh,4.352181408441397e-10
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/hrsp/kg pm2.5 eq,0.001830056702351695
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/htox/ctuh,5.73275229872409e-10
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,economic & social/jobs/jobs,5.965518731419437e-6
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,resource use/land/m2*yr,14.583015745431137
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,chemical releases/metl/kg,2.1436547792884782e-7
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,resource use/mine/kg,0.17945844461287103
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,resource use/nren/mj,2.8498419706945803
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/ozon/kg cfc11 eq,3.9852269528477006e-8
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,chemical releases/pest/kg,2.689725420332786e-5
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,resource use/ren/mj,0.20869529416471252
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,impact potential/smog/kg o3 eq,0.027957299168154592
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,economic & social/vadd/$,0.9918476110148094
112a00/animal farms and aquaculture ponds (except cattle and poultry)/us,resource use/watr/m3,0.5444537748580307
113000/timber and raw forest products/us,impact potential/acid/kg so2 eq,0.0020500462502488206
113000/timber and raw forest products/us,resource use/enrg/mj,4.620865290056035
113000/timber and raw forest products/us,impact potential/etox/ctue,1.2442677857497477
113000/timber and raw forest products/us,impact potential/eutr/kg n eq,8.261032222590143e-4
113000/timber and raw forest products/us,impact potential/gcc/kg co2 eq,0.3710836288731244
113000/timber and raw forest products/us,chemical releases/haps/kg,1.665399127842355e-4
113000/timber and raw forest products/us,impact potential/hc/ctuh,2.940083904451322e-10
113000/timber and raw forest products/us,impact potential/hnc/ctuh,8.67845250227165e-10
113000/timber and raw forest products/us,impact potential/hrsp/kg pm2.5 eq,9.931594295584487e-4
113000/timber and raw forest products/us,impact potential/htox/ctuh,1.1624165066426306e-9
113000/timber and raw forest products/us,economic & social/jobs/jobs,6.684530476028891e-6
113000/timber and raw forest products/us,resource use/land/m2*yr,105.62712050993558
113000/timber and raw forest products/us,chemical releases/metl/kg,2.513245431496062e-7
113000/timber and raw forest products/us,resource use/mine/kg,0.06879196049281562
113000/timber and raw forest products/us,resource use/nren/mj,4.431157835440476
113000/timber and raw forest products/us,impact potential/ozon/kg cfc11 eq,1.34047143425494e-7
113000/timber and raw forest products/us,chemical releases/pest/kg,2.2146356025535812e-5
113000/timber and raw forest products/us,resource use/ren/mj,0.18970745461555974
113000/timber and raw forest products/us,impact potential/smog/kg o3 eq,0.03485576438342929
113000/timber and raw forest products/us,economic & social/vadd/$,1.0900398949960504
113000/timber and raw forest products/us,resource use/watr/m3,0.1687432020785875
114000/wild-caught fish and game/us,impact potential/acid/kg so2 eq,5.843154676398446e-4
114000/wild-caught fish and game/us,resource use/enrg/mj,6.300880423443925
114000/wild-caught fish and game/us,impact potential/etox/ctue,0.0507194112092121
114000/wild-caught fish and game/us,impact potential/eutr/kg n eq,2.4198978048827773e-4
114000/wild-caught fish and game/us,impact potential/gcc/kg co2 eq,0.34897673806197577
114000/wild-caught fish and game/us,chemical releases/haps/kg,4.469599657511488e-5
114000/wild-caught fish and game/us,impact potential/hc/ctuh,6.237724029625165e-11
114000/wild-caught fish and game/us,impact potential/hnc/ctuh,4.072599484143464e-10
114000/wild-caught fish and game/us,impact potential/hrsp/kg pm2.5 eq,8.695676595169634e-5
114000/wild-caught fish and game/us,impact potential/htox/ctuh,4.697660945326408e-10
114000/wild-caught fish and game/us,economic & social/jobs/jobs,4.527079435970346e-6
114000/wild-caught fish and game/us,resource use/land/m2*yr,0.19143356158751157
114000/wild-caught fish and game/us,chemical releases/metl/kg,3.1482704734404753e-7
114000/wild-caught fish and game/us,resource use/mine/kg,0.037628846177508474
114000/wild-caught fish and game/us,resource use/nren/mj,6.078383795751597
114000/wild-caught fish and game/us,impact potential/ozon/kg cfc11 eq,3.5612125324493225e-8
114000/wild-caught fish and game/us,chemical releases/pest/kg,1.5395243996670718e-6
114000/wild-caught fish and game/us,resource use/ren/mj,0.2224966276923283
114000/wild-caught fish and game/us,impact potential/smog/kg o3 eq,0.013103148954485245
114000/wild-caught fish and game/us,economic & social/vadd/$,1.062942468925456
114000/wild-caught fish and game/us,resource use/watr/m3,0.007849415801100735
115000/agriculture and forestry support/us,impact potential/acid/kg so2 eq,0.003798880355783583
115000/agriculture and forestry support/us,resource use/enrg/mj,3.927971470386788
115000/agriculture and forestry support/us,impact potential/etox/ctue,1.4150061733713615
115000/agriculture and forestry support/us,impact potential/eutr/kg n eq,0.001784800578224616
115000/agriculture and forestry support/us,impact potential/gcc/kg co2 eq,0.582295467012754
115000/agriculture and forestry support/us,chemical releases/haps/kg,6.105416610123897e-5
115000/agriculture and forestry support/us,impact potential/hc/ctuh,1.1129920717762523e-10
115000/agriculture and forestry support/us,impact potential/hnc/ctuh,6.052709195793218e-10
115000/agriculture and forestry support/us,impact potential/hrsp/kg pm2.5 eq,8.419700134524835e-4
115000/agriculture and forestry support/us,impact potential/htox/ctuh,7.166731796895649e-10
